CN,destination,longitude,latitude,passengers
,Wuhan,114,31,0
素万那普+廊曼,Bangkok,100.5,13.8,20558
樟宜/新加坡,Singapore,103.8,1.4,10680
成天/东京,Tokyo,139.8,35.7,9080
仁川/首尔,Seoul,127,37.6,6430
关西/大版,Osaka,135.5,34.7,6273
普吉,Phuket,98.3,8,6116
亚庇,Kota Kinabalu,116,6,6048
新山一,Ho Chi Minh City,106.6,10.8,4130
旧金山,San Francisco,-122.4,37.8,3610
迪拜,Dubai,55.3,25.2,3458
金兰,Cam Ranh,109.2,12,3170
伊斯坦布尔,Istanbul,29,41,2926
菲乌米奇诺,Roma,12.5,42,2831
肯尼迪,New York,-74,40,2760
巴厘岛,Bali,115,8.3,2741
名古屋,Nagoya,137,35.2,2656
卡利博,Kalibo,122.4,11.7,2628
谢列梅捷沃,Moscow,37.6,55.8,2600
